adenoma	DOID_657	hsa-let-7a	normal	Northern blot, qRT-PCR etc	2007.0	Disrupting the pairing between let-7 and Hmga2 enhances oncogenic transformation.
adrenocortical carcinoma	DOID_3948	hsa-mir-184	up-regulated	microarray	2009.0	Integrative molecular-bioinformatics study of human adrenocortical tumors: microRNA, tissue specific target prediction and pathway analysis.
adrenocortical carcinoma	DOID_3948	hsa-mir-503	up-regulated	microarray	2009.0	Integrative molecular-bioinformatics study of human adrenocortical tumors: microRNA, tissue specific target prediction and pathway analysis.
adrenocortical carcinoma	DOID_3948	hsa-mir-511	down-regulated	microarray	2009.0	Integrative molecular-bioinformatics study of human adrenocortical tumors: microRNA, tissue specific target prediction and pathway analysis.
adrenocortical carcinoma	DOID_3948	hsa-mir-214	down-regulated	microarray	2009.0	Integrative molecular-bioinformatics study of human adrenocortical tumors: microRNA, tissue specific target prediction and pathway analysis.
anxiety disorder	DOID_2030	hsa-mir-485-3p	normal	northern blot, qRT-PCR etc	2009.0	Allele variants in functional MicroRNA target sites of the neurotrophin-3 receptor gene (NTRK3) as susceptibility factors for anxiety disorders.
anxiety disorder	DOID_2030	hsa-mir-509	normal	northern blot, qRT-PCR etc	2009.0	Allele variants in functional MicroRNA target sites of the neurotrophin-3 receptor gene (NTRK3) as susceptibility factors for anxiety disorders.
anxiety disorder	DOID_2030	hsa-mir-765	normal	northern blot, qRT-PCR etc	2009.0	Allele variants in functional MicroRNA target sites of the neurotrophin-3 receptor gene (NTRK3) as susceptibility factors for anxiety disorders.
anxiety disorder	DOID_2030	hsa-mir-128	normal	northern blot, qRT-PCR etc	2009.0	Allele variants in functional MicroRNA target sites of the neurotrophin-3 receptor gene (NTRK3) as susceptibility factors for anxiety disorders.
asthma	DOID_2841	hsa-mir-152	normal	Northern blot, qRT-PCR etc	2007.0	Allele-specific targeting of microRNAs to HLA-G and risk of asthma.
asthma	DOID_2841	hsa-mir-126	up-regulated	northern blot, qRT-PCR etc	2009.0	Antagonism of microRNA-126 suppresses the effector function of TH2 cells and the development of allergic airways disease
asthma	DOID_2841	hsa-mir-148a	normal	Northern blot, qRT-PCR etc	2007.0	Allele-specific targeting of microRNAs to HLA-G and risk of asthma.
asthma	DOID_2841	hsa-mir-148b	normal	Northern blot, qRT-PCR etc	2007.0	Allele-specific targeting of microRNAs to HLA-G and risk of asthma.
