DOID_9503	MONDO_0019122
DOID_5514	MONDO_0006056
DOID_0060286	MONDO_0000732
DOID_0111350	MONDO_0007615
DOID_7326	MONDO_0004186
DOID_0070120	MONDO_0012848
DOID_0110459	MONDO_0013211
DOID_3665	MONDO_0019315
DOID_2786	MONDO_0002427
DOID_2641	MONDO_0002372
DOID_9720	MONDO_0004860
DOID_0110741	MONDO_0007454
DOID_4744	MONDO_0005916
DOID_0110465	MONDO_0014675
DOID_7031	MONDO_0004080
DOID_8093	MONDO_0004457
DOID_0080238	MONDO_0030912
DOID_2533	MONDO_0006978
DOID_0111383	MONDO_0007848
DOID_9336	MONDO_0004759
DOID_0050116	MONDO_0000245
DOID_3030	MONDO_0004957
DOID_0080470	MONDO_0010472
DOID_9358	MONDO_0004764
DOID_9280	MONDO_0009376
DOID_14443	MONDO_0006534
DOID_3038	MONDO_0002496
DOID_3264	MONDO_0002582
DOID_6755	MONDO_0024892
DOID_5740	MONDO_0003621
DOID_1811	MONDO_0011441
DOID_4664	MONDO_0003082
DOID_0060558	MONDO_0017436
DOID_0080366	MONDO_0007608
DOID_0111262	MONDO_0013351
DOID_9455	MONDO_0019245
DOID_0060651	MONDO_0015912
DOID_1513	MONDO_0002030
DOID_7642	MONDO_0004315
DOID_9965	MONDO_0005989
DOID_0070034	MONDO_0012947
DOID_0060362	MONDO_0007047
DOID_0050475	MONDO_0018096
DOID_0110600	MONDO_0014378
DOID_0060773	MONDO_0009151
DOID_9682	MONDO_0020502
DOID_11968	MONDO_0001410
DOID_0111000	MONDO_0012432
DOID_260	MONDO_0002357
DOID_4715	MONDO_0003111
DOID_11750	MONDO_0001353
DOID_0110047	MONDO_0012631
DOID_14777	MONDO_0002016
DOID_13800	MONDO_0005808
DOID_0110812	MONDO_0014304
DOID_13100	MONDO_0006812
DOID_0111481	MONDO_0013969
DOID_0050858	MONDO_0011244
DOID_2548	MONDO_0017768
DOID_13738	MONDO_0001787
DOID_710	MONDO_0004107
DOID_0080279	MONDO_0033311
DOID_363	MONDO_0002715
DOID_0111311	MONDO_0012681
DOID_17	MONDO_0002081
DOID_0080554	MONDO_0011257
DOID_0070223	MONDO_0011214
DOID_3737	MONDO_0006006
DOID_8923	MONDO_0005012
DOID_5580	MONDO_0003525
DOID_0070354	MONDO_0032735
DOID_16	MONDO_0002051
DOID_6438	MONDO_0003878
DOID_0080219	MONDO_0007785
DOID_0080570	MONDO_0013968
DOID_4976	MONDO_0005424
DOID_7611	MONDO_0004305
DOID_9169	MONDO_0010518
DOID_1148	MONDO_0021003
DOID_12177	MONDO_0015517
DOID_0060436	MONDO_0012020
DOID_3390	MONDO_0006590
DOID_0050766	MONDO_0008695
DOID_0050968	MONDO_0011397
DOID_0060325	MONDO_0000751
DOID_0110716	MONDO_0010822
DOID_0110063	MONDO_0014385
DOID_2092	MONDO_0002204
DOID_0110658	MONDO_0014542
DOID_13474	MONDO_0001723
DOID_10605	MONDO_0015183
DOID_5251	MONDO_0003347
DOID_4591	MONDO_0003056
DOID_12889	MONDO_0005851
DOID_10138	MONDO_0000948
DOID_1340	MONDO_0001705
DOID_4959	MONDO_0006543
DOID_10146	MONDO_0000951
DOID_14289	MONDO_0009144
DOID_0110368	MONDO_0012024
DOID_4974	MONDO_0005630
DOID_0050877	MONDO_0009832
DOID_0070069	MONDO_0014678
DOID_7037	MONDO_0004082
DOID_9352	MONDO_0005148
DOID_8800	MONDO_0004660
DOID_0111206	MONDO_0015352
DOID_0080525	MONDO_0015447
DOID_248	MONDO_0002318
DOID_0111012	MONDO_0011355
DOID_12361	MONDO_0005364
DOID_0110817	MONDO_0014282
DOID_0070251	MONDO_0010401
DOID_0060095	MONDO_0000632
DOID_5604	MONDO_0003541
DOID_1768	MONDO_0002104
DOID_0111663	MONDO_0007509
DOID_5593	MONDO_0006228
DOID_11033	MONDO_0001182
DOID_0110427	MONDO_0013373
DOID_5743	MONDO_0003624
DOID_888	MONDO_0004672
DOID_0080417	MONDO_0014868
DOID_12603	MONDO_0010643
DOID_0060825	MONDO_0010278
DOID_7042	MONDO_0004086
DOID_0050148	MONDO_0000263
DOID_4562	MONDO_0006981
DOID_0110786	MONDO_0012866
DOID_0090042	MONDO_0012895
DOID_437	MONDO_0009688
DOID_0110801	MONDO_0014016
DOID_8144	MONDO_0004478
DOID_3821	MONDO_0006917
DOID_8119	MONDO_0004468
DOID_5772	MONDO_0003641
DOID_7207	MONDO_0004142
DOID_11200	MONDO_0001222
DOID_1510	MONDO_0002028
DOID_10607	MONDO_0001078
DOID_0111424	MONDO_0012575
DOID_3138	MONDO_0007035
DOID_0110555	MONDO_0011568
DOID_6405	MONDO_0003872
DOID_5052	MONDO_0017775
DOID_0060768	MONDO_0008434
DOID_11213	MONDO_0001226
DOID_0060645	MONDO_0009813
DOID_0111231	MONDO_0013904
DOID_11337	MONDO_0015306
DOID_0070174	MONDO_0014970
DOID_0050470	MONDO_0009517
DOID_3675	MONDO_0002730
DOID_0080524	MONDO_0024622
DOID_0080082	MONDO_0008798
DOID_5693	MONDO_0003585
DOID_6721	MONDO_0003975
DOID_749	MONDO_0004242
DOID_9270	MONDO_0008753
DOID_4153	MONDO_0002894
DOID_14784	MONDO_0002017
DOID_4525	MONDO_0003034
DOID_6741	MONDO_0003982
DOID_12362	MONDO_0001511
DOID_0110805	MONDO_0013962
DOID_0080257	MONDO_0033092
DOID_13014	MONDO_0001615
DOID_1176	MONDO_0001358
DOID_4025	MONDO_0006979
DOID_0060694	MONDO_0011025
DOID_0111222	MONDO_0014418
DOID_10534	MONDO_0001056
DOID_4418	MONDO_0006717
DOID_11623	MONDO_0001326
DOID_0080245	MONDO_0033007
DOID_0060303	MONDO_0013445
DOID_3159	MONDO_0006597
DOID_14199	MONDO_0001906
DOID_0070280	MONDO_0012106
DOID_0111651	MONDO_0032804
DOID_7463	MONDO_0004233
DOID_0060335	MONDO_0008422
DOID_2860	MONDO_0019050
DOID_0110475	MONDO_0009076
DOID_13945	MONDO_0007432
DOID_13732	MONDO_0006884
DOID_14353	MONDO_0001949
DOID_0111385	MONDO_0008178
DOID_1241	MONDO_0001523
DOID_11557	MONDO_0001312
DOID_8545	MONDO_0018493
DOID_0111528	MONDO_0008059
DOID_6354	MONDO_0003864
DOID_3181	MONDO_0016695
DOID_7007	MONDO_0004071
DOID_2701	MONDO_0002399
DOID_14286	MONDO_0001935
DOID_0080190	MONDO_0015523
DOID_0080533	MONDO_0011740
DOID_0080353	MONDO_0010358
DOID_2877	MONDO_0002448
DOID_5047	MONDO_0003256
DOID_3013	MONDO_0002488
DOID_0070025	MONDO_0010584
DOID_0050683	MONDO_0011838
DOID_6043	MONDO_0003746
DOID_4324	MONDO_0002963
DOID_0110158	MONDO_0011889
DOID_3076	MONDO_0002503
DOID_0110192	MONDO_0012250
DOID_438	MONDO_0002977
DOID_0050579	MONDO_0013291
DOID_0060451	MONDO_0007379
DOID_0070204	MONDO_0011448
DOID_0111531	MONDO_0008136
DOID_0070298	MONDO_0010844
DOID_471	MONDO_0003110
DOID_0060363	MONDO_0010613
DOID_0060159	MONDO_0000688
DOID_2060	MONDO_0002188
DOID_14276	MONDO_0006968
DOID_0060608	MONDO_0008871
DOID_0110297	MONDO_0012248
DOID_2762	MONDO_0002415
DOID_0110376	MONDO_0012796
DOID_0110776	MONDO_0011992
DOID_0080436	MONDO_0012812
DOID_0111249	MONDO_0007355
DOID_0111672	MONDO_0013327
DOID_10155	MONDO_0005814
DOID_3642	MONDO_0006740
DOID_12859	MONDO_0001595
DOID_14447	MONDO_0001967
DOID_8030	MONDO_0004439
DOID_0060299	MONDO_0012908
DOID_0080133	MONDO_0011582
DOID_3265	MONDO_0018305
DOID_0050166	MONDO_0000271
DOID_0050986	MONDO_0014475
DOID_9053	MONDO_0004703
DOID_12637	MONDO_0001559
DOID_3478	MONDO_0002658
DOID_0080346	MONDO_0040503
DOID_0080027	MONDO_0016761
DOID_0111324	MONDO_0020772
DOID_4683	MONDO_0003091
DOID_7334	MONDO_0004191
DOID_2751	MONDO_0010598
DOID_1882	MONDO_0006664
DOID_0111192	MONDO_0008030
DOID_0060888	MONDO_0008040
DOID_3664	MONDO_0002724
DOID_8031	MONDO_0004440
DOID_0050802	MONDO_0007526
DOID_0111712	MONDO_0016779
DOID_161	MONDO_0006566
DOID_8439	MONDO_0004566
DOID_0110699	MONDO_0007805
DOID_6762	MONDO_0003988
DOID_13709	MONDO_0001780
DOID_0111067	MONDO_0015015
DOID_12053	MONDO_0005724
DOID_9880	MONDO_0004911
DOID_0060475	MONDO_0014150
DOID_2926	MONDO_0007864
DOID_988	MONDO_0004910
DOID_12265	MONDO_0001474
DOID_0050759	MONDO_0011266
DOID_5395	MONDO_0003429
DOID_0080452	MONDO_0014533
DOID_3284	MONDO_0006451
DOID_10997	MONDO_0001175
DOID_0050486	MONDO_0006547
DOID_0070259	MONDO_0012637
DOID_13790	MONDO_0001802
DOID_8288	MONDO_0004523
DOID_11983	MONDO_0008300
DOID_6445	MONDO_0003879
DOID_4468	MONDO_0005004
DOID_0050870	MONDO_0000503
DOID_0060271	MONDO_0014370
DOID_0080290	MONDO_0033483
DOID_7333	MONDO_0004190
DOID_0111522	MONDO_0009783
DOID_0060551	MONDO_0011405
DOID_12403	MONDO_0005984
DOID_0110469	MONDO_0011360
DOID_0110966	MONDO_0007217
DOID_4639	MONDO_0003069
DOID_0060574	MONDO_0013304
DOID_2222	MONDO_0009212
DOID_0050800	MONDO_0010305
DOID_9726	MONDO_0007017
DOID_9267	MONDO_0004739
DOID_10176	MONDO_0000958
DOID_0060470	MONDO_0018274
DOID_0080488	MONDO_0019248
DOID_0090041	MONDO_0007493
DOID_2228	MONDO_0002249
DOID_0110962	MONDO_0007214
