hsa-mir-6859-1	MI0022705
hsa-mir-1302-2	MI0006363
hsa-mir-6859-2	MI0026420
hsa-mir-12136	MI0039740
hsa-mir-200b	MI0000342
hsa-mir-200a	MI0000737
hsa-mir-429	MI0001641
hsa-mir-6726	MI0022571
hsa-mir-6727	MI0022572
hsa-mir-6808	MI0022653
hsa-mir-4251	MI0015861
hsa-mir-551a	MI0003556
hsa-mir-4689	MI0017322
hsa-mir-4252	MI0015864
hsa-mir-6728	MI0022573
hsa-mir-34a	MI0000268
hsa-mir-5697	MI0019304
hsa-mir-6729	MI0022574
hsa-mir-7846	MI0025516
hsa-mir-4632	MI0017259
hsa-mir-6730	MI0022575
hsa-mir-3675	MI0016076
hsa-mir-3972	MI0016990
hsa-mir-4695	MI0017328
hsa-mir-1290	MI0006352
hsa-mir-6084	MI0020361
hsa-mir-1256	MI0006390
hsa-mir-4418	MI0016754
hsa-mir-6127	MI0021271
hsa-mir-4684	MI0017316
hsa-mir-4253	MI0015860
hsa-mir-3115	MI0014127
hsa-mir-378f	MI0016756
hsa-mir-6731	MI0022576
hsa-mir-4425	MI0016764
hsa-mir-3917	MI0016423
hsa-mir-1976	MI0009986
hsa-mir-4420	MI0016757
hsa-mir-4254	MI0015862
hsa-mir-5585	MI0019142
hsa-mir-3605	MI0015995
hsa-mir-552	MI0003557
hsa-mir-4255	MI0015863
hsa-mir-6732	MI0022577
hsa-mir-5581	MI0019136
hsa-mir-3659	MI0016060
hsa-mir-30e	MI0000749
hsa-mir-30c-1	MI0000736
hsa-mir-6733	MI0022578
hsa-mir-6734	MI0022579
hsa-mir-6735	MI0022580
hsa-mir-6079	MI0020356
hsa-mir-5584	MI0019141
hsa-mir-4421	MI0016758
hsa-mir-6500	MI0022211
hsa-mir-761	MI0003941
hsa-mir-4781	MI0017426
hsa-mir-4422	MI0016759
hsa-mir-4711	MI0017345
hsa-mir-12132	MI0039734
hsa-mir-3116-1	MI0014128
hsa-mir-3116-2	MI0014129
hsa-mir-6068	MI0020345
hsa-mir-4794	MI0017441
hsa-mir-3671	MI0016072
hsa-mir-101-1	MI0000103
hsa-mir-3117	MI0014130
hsa-mir-1262	MI0006397
hsa-mir-186	MI0000483
hsa-mir-7156	MI0023616
hsa-mir-4423	MI0016760
hsa-mir-7856	MI0025526
hsa-mir-760	MI0005567
hsa-mir-12133	MI0039735
hsa-mir-2682	MI0012063
hsa-mir-137	MI0000454
hsa-mir-553	MI0003558
hsa-mir-7852	MI0025522
hsa-mir-197	MI0000239
hsa-mir-4256	MI0015855
hsa-mir-11399	MI0036558
hsa-mir-548ac	MI0016762
hsa-mir-320b-1	MI0003776
hsa-mir-942	MI0005767
hsa-mir-6736	MI0022581
hsa-mir-5087	MI0017976
hsa-mir-6077	MI0020354
hsa-mir-6878	MI0022725
