hsa-mir-1302-8	NCRO_0002185
hsa-mir-3617	NCRO_0003197
hsa-mir-4539	NCRO_0001132
hsa-mir-210	NCRO_0002758
hsa-mir-6895	NCRO_0001579
hsa-mir-3143	NCRO_0000846
hsa-mir-548aq	NCRO_0002113
hsa-mir-4298	NCRO_0000888
hsa-mir-6863	NCRO_0001547
hsa-mir-5092	NCRO_0001305
hsa-mir-4701	NCRO_0001198
hsa-mir-3671	NCRO_0000986
hsa-mir-134	NCRO_0002775
hsa-mir-3158-1	NCRO_0002457
hsa-mir-1243	NCRO_0003265
hsa-mir-5093	NCRO_0001306
hsa-mir-6085	NCRO_0001382
hsa-mir-4715	NCRO_0001210
hsa-mir-3189	NCRO_0000874
hsa-mir-515-1	NCRO_0001744
hsa-mir-873	NCRO_0002862
hsa-mir-590	NCRO_0002872
hsa-mir-4518	NCRO_0001114
hsa-mir-1305	NCRO_0003095
hsa-mir-4327	NCRO_0000924
hsa-mir-1306	NCRO_0002942
hsa-mir-3162	NCRO_0000855
hsa-mir-4643	NCRO_0001151
hsa-mir-3687-1	NCRO_0002689
hsa-mir-302d	NCRO_0001884
hsa-mir-2116	NCRO_0000827
hsa-mir-5000	NCRO_0001288
hsa-mir-7158	NCRO_0001597
hsa-mir-550a-2	NCRO_0002130
hsa-mir-4650-2	NCRO_0002496
hsa-mir-6889	NCRO_0001573
hsa-mir-1244-2	NCRO_0002282
hsa-mir-7150	NCRO_0001589
hsa-mir-943	NCRO_0003057
hsa-mir-7-3	NCRO_0001790
hsa-mir-6807	NCRO_0001492
hsa-mir-1234	NCRO_0000816
hsa-mir-579	NCRO_0002052
hsa-mir-892b	NCRO_0002146
hsa-mir-4689	NCRO_0001186
hsa-mir-6082	NCRO_0001379
hsa-mir-628	NCRO_0002940
hsa-mir-3195	NCRO_0000876
hsa-mir-3614	NCRO_0000963
hsa-mir-1471	NCRO_0003118
hsa-mir-4499	NCRO_0001099
hsa-mir-3153	NCRO_0000851
hsa-mir-8070	NCRO_0001645
hsa-mir-1205	NCRO_0002999
hsa-mir-578	NCRO_0002900
hsa-mir-4760	NCRO_0001252
hsa-mir-29b-2	NCRO_0001707
hsa-mir-6089-1	NCRO_0002595
hsa-mir-4750	NCRO_0001241
hsa-mir-544a	NCRO_0002171
hsa-mir-4324	NCRO_0000911
hsa-mir-575	NCRO_0002980
hsa-mir-8087	NCRO_0001661
hsa-mir-4282	NCRO_0000946
hsa-mir-4321	NCRO_0000909
hsa-mir-1185-2	NCRO_0001734
hsa-mir-1973	NCRO_0000822
hsa-mir-1184-1	NCRO_0002301
hsa-mir-567	NCRO_0002964
hsa-mir-3139	NCRO_0000843
hsa-mir-5008	NCRO_0001295
hsa-mir-205	NCRO_0002732
hsa-mir-26a-2	NCRO_0001838
hsa-mir-4457	NCRO_0001057
hsa-mir-3164	NCRO_0000857
hsa-mir-585	NCRO_0000811
hsa-mir-4526	NCRO_0003218
hsa-mir-4273	NCRO_0000937
hsa-mir-497	NCRO_0002838
hsa-mir-373	NCRO_0002918
hsa-mir-26b	NCRO_0001837
hsa-mir-3170	NCRO_0003246
hsa-mir-661	NCRO_0002890
hsa-mir-3064	NCRO_0003137
hsa-mir-6882	NCRO_0001566
hsa-mir-7706	NCRO_0001607
hsa-mir-518a-1	NCRO_0001770
hsa-mir-206	NCRO_0001824
hsa-mir-4743	NCRO_0003162
hsa-mir-3974	NCRO_0001136
hsa-mir-365a	NCRO_0001864
hsa-mir-3681	NCRO_0000993
hsa-mir-5692c-2	NCRO_0002539
hsa-mir-548q	NCRO_0002082
hsa-mir-6739	NCRO_0001427
hsa-mir-4731	NCRO_0001225
hsa-mir-1294	NCRO_0002994
hsa-mir-941-4	NCRO_0002151
hsa-mir-4705	NCRO_0001200
hsa-mir-133a-2	NCRO_0001804
hsa-mir-548al	NCRO_0002108
hsa-mir-5701-2	NCRO_0002527
hsa-mir-4266	NCRO_0000927
hsa-mir-3194	NCRO_0000875
hsa-mir-656	NCRO_0001733
hsa-mir-4498	NCRO_0001097
hsa-mir-8080	NCRO_0001654
hsa-mir-5707	NCRO_0001362
hsa-mir-4632	NCRO_0001141
hsa-mir-3913-1	NCRO_0002466
hsa-mir-151a	NCRO_0001859
hsa-mir-6893	NCRO_0001577
hsa-mir-302f	NCRO_0001885
hsa-mir-2114	NCRO_0003193
hsa-mir-4509-1	NCRO_0002482
hsa-mir-4305	NCRO_0000893
hsa-mir-2392	NCRO_0003238
hsa-mir-4523	NCRO_0003281
hsa-mir-378d-1	NCRO_0002002
hsa-mir-6795	NCRO_0001480
hsa-mir-520g	NCRO_0001766
hsa-mir-548a-3	NCRO_0002056
hsa-mir-7-1	NCRO_0001788
hsa-mir-1272	NCRO_0003024
hsa-mir-515-2	NCRO_0001747
hsa-mir-1304	NCRO_0003116
hsa-mir-7111	NCRO_0001585
hsa-mir-3927	NCRO_0003191
hsa-mir-6798	NCRO_0001483
hsa-mir-6826	NCRO_0001511
hsa-mir-409	NCRO_0001725
hsa-mir-203a	NCRO_0001925
hsa-mir-3714	NCRO_0001002
hsa-mir-4421	NCRO_0003220
hsa-mir-6084	NCRO_0001381
hsa-mir-4654	NCRO_0003202
hsa-mir-599	NCRO_0002920
hsa-mir-3181	NCRO_0000867
hsa-mir-4517	NCRO_0001113
hsa-mir-5694	NCRO_0001350
hsa-mir-3667	NCRO_0000984
hsa-mir-5690	NCRO_0001346
hsa-mir-4509-3	NCRO_0002484
hsa-mir-5587	NCRO_0001332
hsa-mir-3664	NCRO_0003208
hsa-mir-372	NCRO_0001876
hsa-mir-5195	NCRO_0001319
hsa-mir-4650-1	NCRO_0002495
hsa-mir-455	NCRO_0002785
hsa-mir-6716	NCRO_0001406
hsa-mir-6748	NCRO_0001436
hsa-mir-5584	NCRO_0001329
hsa-mir-1248	NCRO_0003010
hsa-mir-1237	NCRO_0002979
hsa-mir-563	NCRO_0002933
hsa-mir-4309	NCRO_0000895
hsa-mir-4747	NCRO_0001238
hsa-mir-4262	NCRO_0000929
hsa-mir-4264	NCRO_0000933
hsa-mir-6859-4	NCRO_0002652
hsa-mir-1207	NCRO_0002988
hsa-mir-1292	NCRO_0003047
hsa-mir-6507	NCRO_0001397
hsa-mir-3960	NCRO_0003146
hsa-mir-3131	NCRO_0000839
hsa-mir-6083	NCRO_0001380
hsa-mir-130b	NCRO_0001819
hsa-mir-1468	NCRO_0003074
hsa-mir-1915	NCRO_0003114
hsa-mir-196b	NCRO_0001808
hsa-mir-3202-1	NCRO_0002403
hsa-mir-181d	NCRO_0001704
hsa-mir-466	NCRO_0002050
hsa-mir-6727	NCRO_0001415
hsa-mir-5589	NCRO_0001335
hsa-mir-6735	NCRO_0001423
hsa-mir-494	NCRO_0001728
hsa-mir-4800	NCRO_0001283
hsa-mir-4669	NCRO_0001170
hsa-mir-609	NCRO_0002931
hsa-mir-548au	NCRO_0002117
hsa-mir-4739	NCRO_0001232
hsa-mir-548ax	NCRO_0002120
hsa-mir-1908	NCRO_0003108
hsa-mir-4726	NCRO_0001220
hsa-mir-324	NCRO_0002801
hsa-mir-548f-3	NCRO_0002067
hsa-mir-766	NCRO_0003049
hsa-mir-6800	NCRO_0001485
hsa-mir-6862-2	NCRO_0002673
hsa-mir-3190	NCRO_0003141
hsa-mir-595	NCRO_0003028
hsa-mir-320c-1	NCRO_0001990
hsa-mir-214	NCRO_0002736
hsa-mir-487a	NCRO_0001727
hsa-mir-216a	NCRO_0001851
hsa-mir-23b	NCRO_0001799
hsa-mir-6781	NCRO_0001468
hsa-mir-5100	NCRO_0001323
hsa-mir-3187	NCRO_0000873
hsa-mir-299	NCRO_0002812
hsa-mir-3179-1	NCRO_0002414
hsa-mir-6073	NCRO_0001370
hsa-mir-183	NCRO_0002740
hsa-mir-378h	NCRO_0001062
hsa-mir-4660	NCRO_0003190
hsa-mir-4793	NCRO_0001278
hsa-mir-548z	NCRO_0002090
hsa-mir-589	NCRO_0002915
hsa-mir-3129	NCRO_0003189
hsa-mir-587	NCRO_0002972
hsa-mir-6875	NCRO_0001559
hsa-mir-129-1	NCRO_0001887
hsa-mir-6736	NCRO_0001424
hsa-mir-3679	NCRO_0000992
hsa-mir-4727	NCRO_0001221
hsa-mir-365b	NCRO_0001865
hsa-mir-3188	NCRO_0003199
hsa-mir-6847	NCRO_0001532
hsa-mir-301b	NCRO_0001820
hsa-mir-4419a	NCRO_0001029
hsa-mir-6813	NCRO_0001498
hsa-mir-367	NCRO_0002798
hsa-mir-4801	NCRO_0001284
hsa-mir-3180-2	NCRO_0002410
hsa-mir-450b	NCRO_0001950
hsa-mir-127	NCRO_0002754
hsa-mir-1914	NCRO_0003115
hsa-mir-3910-1	NCRO_0002475
hsa-mir-6723	NCRO_0001413
hsa-mir-620	NCRO_0000812
hsa-mir-4685	NCRO_0001182
hsa-mir-3074	NCRO_0003120
hsa-mir-760	NCRO_0002865
hsa-mir-5704	NCRO_0001359
