Label	Relation
helper property (not for use in curation)	http://purl.obolibrary.org/obo/RO_0002464
developmentally replaces	http://purl.obolibrary.org/obo/RO_0002285
is approximately equivalent to	http://purl.obolibrary.org/obo/RO_0002603
has intracellular endoparasite	http://purl.obolibrary.org/obo/RO_0002641
supplies	http://purl.obolibrary.org/obo/RO_0002178
results in organization of	http://purl.obolibrary.org/obo/RO_0002592
has exposure stimulus	http://purl.obolibrary.org/obo/RO_0002309
has developmental contribution from	http://purl.obolibrary.org/obo/RO_0002254
in hemiplasy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000045
in pro-orthology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000025
has material basis in gain of function germline mutation in	http://purl.obolibrary.org/obo/RO_0004001
in approximate one to one relationship with	http://purl.obolibrary.org/obo/RO_0002602
target participant in	http://purl.obolibrary.org/obo/RO_0002463
axiom holds for all times	http://purl.obolibrary.org/obo/RO_0001901
end, years post birth	http://purl.obolibrary.org/obo/RO_0002542
involved in regulation of	http://purl.obolibrary.org/obo/RO_0002428
developmentally induces	http://purl.obolibrary.org/obo/RO_0002257
is a defining property chain axiom	http://purl.obolibrary.org/obo/RO_0002581
has subsequence	http://purl.obolibrary.org/obo/RO_0002524
directly inhibits	http://purl.obolibrary.org/obo/RO_0002408
results in disassembly of	http://purl.obolibrary.org/obo/RO_0002590
capable of regulating	http://purl.obolibrary.org/obo/RO_0002596
simultaneous with	http://purl.obolibrary.org/obo/RO_0002082
enables	http://purl.obolibrary.org/obo/RO_0002327
correlated with	http://purl.obolibrary.org/obo/RO_0002610
in mimicry relationship with	http://purl.obolibrary.org/obo/RO_HOM0000033
has autoimmune trigger	http://purl.obolibrary.org/obo/RO_0001023
fasciculates with	http://purl.obolibrary.org/obo/RO_0002101
is immediately upstream of sequence of	http://purl.obolibrary.org/obo/RO_0002531
determined by part of	http://purl.obolibrary.org/obo/RO_0002509
has potential to develop into	http://purl.obolibrary.org/obo/RO_0002387
is carrier of	http://purl.obolibrary.org/obo/RO_0010002
in chromosomal homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000047
correlated with condition	http://purl.obolibrary.org/obo/RO_0003308
in iterative homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000066
starts during	http://purl.obolibrary.org/obo/RO_0002091
decreases by repression quantity of	http://purl.obolibrary.org/obo/RO_0011007
is killed by	http://purl.obolibrary.org/obo/RO_0002627
in equivalogy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000062
sends synaptic output to region	http://purl.obolibrary.org/obo/RO_0013003
indirectly regulates quantity of	http://purl.obolibrary.org/obo/RO_0011022
results in assembly of	http://purl.obolibrary.org/obo/RO_0002588
acquires nutrients from	http://purl.obolibrary.org/obo/RO_0002457
disease relationship	http://purl.obolibrary.org/obo/RO_0040035
expressed in	http://purl.obolibrary.org/obo/RO_0002206
obsolete upstream in neural circuit with	http://purl.obolibrary.org/obo/RO_0000301
related via evidence or inference to	http://purl.obolibrary.org/obo/RO_0002616
